Series Name,Series Code,Time,Time Code,Japan [JPN],Russian Federation [RUS],United States [USA],United Arab Emirates [ARE]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,YR1960,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,YR1961,12.0435364080116,..,2.29999999999968,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1962,YR1962,8.90897299558067,..,6.10000000000012,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1963,YR1963,8.47364238279391,..,4.39999999999992,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1964,YR1964,11.6767081963977,..,5.8000000000003,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1965,YR1965,5.81970787298265,..,6.39999999999976,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1966,YR1966,10.6385615591629,..,6.50000000000028,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1967,YR1967,11.0821423246929,..,2.50000000000003,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1968,YR1968,12.8824681383234,..,4.79999999999959,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1969,YR1969,12.4778945144976,..,3.09999999999999,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1970,YR1970,0.399050644836535,..,-0.254079592763304,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1971,YR1971,4.69899204223367,..,3.29336237777143,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,YR1972,8.41354725524519,..,5.25889535776155,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,YR1973,8.03259997464167,..,5.64571947037473,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,YR1974,-1.22523982754012,..,-0.540546529074902,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,YR1975,3.09157591621805,..,-0.2054640121342,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,YR1976,3.97498409101746,..,5.38813922657351,16.5268565060148
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,YR1977,4.39033795024311,..,4.62415920683689,21.4393301701989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1978,YR1978,5.27194150294601,..,5.53530269328533,-1.58960331991595
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1979,YR1979,5.48404183245223,..,3.16615027095321,20.9235730770152
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1980,YR1980,2.81759120758123,..,-0.256751930992138,23.874774910498
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1981,YR1981,4.209336465291,..,2.53771869780746,4.65917667406515
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1982,YR1982,3.31245673720863,..,-1.80287445271176,-6.71931618570784
