,Germany,Indonesia,United Kingdom,China,Argentina,Brazil,"Hong Kong SAR, China",Canada,India,Mexico,Israel,United States,Japan
1990,0.801,0.525,0.775,0.501,0.707,0.613,0.781,0.85,0.431,0.652,0.792,0.86,0.816
1991,0.809,0.53,0.787,0.509,0.714,0.62,0.786,0.853,0.436,0.655,0.8,0.862,0.821
1992,0.814,0.535,0.801,0.52,0.719,0.626,0.791,0.856,0.442,0.66,0.807,..,0.824
1993,0.824,0.541,0.813,0.53,0.725,0.634,0.799,0.854,0.449,0.664,0.813,0.872,0.829
1994,0.829,0.551,0.827,0.537,0.729,0.642,0.804,0.859,0.456,0.67,0.818,0.875,0.835
1995,0.834,0.56,0.839,0.549,0.731,0.651,0.808,0.861,0.463,0.672,0.824,0.878,0.84
1996,0.839,0.574,0.844,0.558,0.738,0.657,0.811,0.863,0.471,0.679,0.828,0.879,0.845
1997,0.844,0.587,0.849,0.566,0.746,0.664,0.816,0.863,0.477,0.685,0.836,..,0.848
1998,0.853,0.587,0.855,0.574,0.752,0.67,0.817,0.861,0.484,0.693,0.843,0.884,0.847
1999,0.861,0.595,0.861,0.583,0.763,0.675,0.821,0.864,0.492,0.698,0.85,0.885,0.85
2000,0.869,0.604,0.867,0.591,0.77,0.684,0.827,0.868,0.497,0.705,0.853,0.881,0.855
2001,0.876,0.61,0.871,0.599,0.775,0.691,0.835,0.872,0.502,0.708,0.857,0.884,0.859
2002,0.883,0.616,0.874,0.61,0.77,0.698,0.842,0.877,0.508,0.714,0.865,0.886,0.862
2003,0.889,0.623,0.878,0.622,0.775,0.694,0.851,0.882,0.521,0.72,0.865,0.889,0.865
2004,0.899,0.629,0.886,0.631,0.775,0.697,0.862,0.887,0.53,0.726,0.867,0.892,0.869
2005,0.9,0.633,0.89,0.643,0.777,0.7,0.871,0.892,0.539,0.729,0.871,0.896,0.873
2006,0.91,0.643,0.889,0.657,0.801,0.701,0.883,0.895,0.548,0.737,0.872,0.899,0.877
2007,0.914,0.644,0.892,0.67,0.806,0.705,0.887,0.891,0.558,0.738,0.881,0.902,0.88
2008,0.916,0.648,0.896,0.681,0.81,0.716,0.896,0.893,0.565,0.74,0.88,0.907,0.881
2009,0.916,0.659,0.899,0.69,0.81,0.718,0.898,0.893,0.571,0.739,0.882,0.908,0.88
2010,0.92,0.666,0.905,0.702,0.818,0.726,0.901,0.895,0.581,0.739,0.887,0.911,0.885
2011,0.925,0.674,0.899,0.711,0.823,0.73,0.904,0.899,0.59,0.746,0.892,0.914,0.89
2012,0.927,0.682,0.897,0.719,0.823,0.734,0.911,0.906,0.6,0.752,0.893,0.916,0.895
2013,0.927,0.688,0.914,0.727,0.824,0.752,0.916,0.91,0.607,0.75,0.895,0.914,0.9
2014,0.93,0.691,0.918,0.735,0.825,0.755,0.924,0.914,0.618,0.754,0.9,0.915,0.904
2015,0.933,0.696,0.916,0.742,0.828,0.755,0.927,0.917,0.627,0.759,0.901,0.917,0.906
2016,0.936,0.7,0.918,0.749,0.828,0.757,0.931,0.92,0.637,0.764,0.902,0.919,0.91
2017,0.938,0.704,0.919,0.753,0.832,0.76,0.937,0.921,0.643,0.765,0.904,0.919,0.913
2018,0.939,0.707,0.92,0.758,0.83,0.761,0.939,0.922,0.647,0.767,0.906,0.92,0.915
